cve_ent,ent,cve_mun,mun,anio,pob_tot,i_analf,i_asistesc,i_edbasinc,i_sdsalud,i_ptierra,i_nosan,i_noagua,i_nodren,i_noelec,i_nolav,i_noref,irs,grs,lugar
1,Aguascalientes,1001,Aguascalientes,2020,948990,1.642183,4.601069,20.252928,18.250877,0.574092,0.272787,0.371096,0.299428,0.164348,12.12534,4.333453,-1.31532,Muy bajo,2435
1,Aguascalientes,1002,Asientos,2020,51536,3.523404,6.294853,33.869504,14.727569,1.469414,3.825268,0.990257,3.569717,0.758665,17.696854,11.587606,-0.857301,Muy bajo,1986
1,Aguascalientes,1003,Calvillo,2020,58250,4.487288,6.94846,42.424388,20.312446,1.121134,0.715206,0.940722,0.66366,0.721649,12.628866,5.54768,-0.918554,Muy bajo,2076
1,Aguascalientes,1004,Cosío,2020,17000,3.139545,5.697637,27.595837,13.805882,1.017553,2.009667,0.788603,1.195625,0.63597,18.519461,10.506233,-1.004023,Muy bajo,2178
1,Aguascalientes,1005,Jesús María,2020,129929,2.377387,5.877568,26.604873,21.010706,1.239034,0.584848,0.862199,0.780803,0.467276,12.007476,5.296795,-1.173361,Muy bajo,2347
1,Aguascalientes,1006,Pabellón de Arteaga,2020,47646,2.724991,4.438116,25.615513,18.591277,0.681818,0.97028,1.066434,0.891608,0.585664,12.954545,6.704545,-1.168755,Muy bajo,2343
1,Aguascalientes,1007,Rincón de Romos,2020,57369,3.442602,4.382054,27.042147,19.862644,1.269373,1.778598,1.092251,1.498155,0.664207,17.239852,8.575646,-1.065487,Muy bajo,2256
1,Aguascalientes,1008,San José de Gracia,2020,9552,2.439024,5.735378,28.424605,13.075796,1.009251,2.733389,1.892347,2.649285,1.387721,16.86291,9.882254,-0.956906,Muy bajo,2121
1,Aguascalientes,1009,Tepezalá,2020,22485,4.231683,5.367841,34.996468,14.934401,1.64419,2.660262,1.182339,1.902827,0.812858,15.998522,9.1816,-0.900102,Muy bajo,2041
1,Aguascalientes,1010,El Llano,2020,20853,3.889612,4.397087,34.924331,21.03774,1.536098,3.302611,1.804916,3.801843,1.459293,20.142089,13.018433,-0.829259,Muy bajo,1955
1,Aguascalientes,1011,San Francisco de los Romo,2020,61997,2.354126,6.429683,28.386153,17.055664,0.714722,0.488699,0.537569,0.342089,0.458155,18.112401,8.869884,-1.075474,Muy bajo,2261
2,Baja California,2001,Ensenada,2020,443807,2.281879,5.455517,25.217238,17.531945,1.803281,0.797217,4.376413,5.291017,1.698858,19.610681,7.200881,-0.970463,Muy bajo,2142
2,Baja California,2002,Mexicali,2020,1049792,1.61219,4.884076,21.403443,18.162265,1.389378,0.401693,0.824336,3.432152,0.683759,12.045932,3.05232,-1.240347,Muy bajo,2397
2,Baja California,2003,Tecate,2020,108440,1.921376,6.041172,28.422073,18.180561,1.835633,1.079404,3.739133,2.430275,1.577093,14.184145,4.928417,-1.024642,Muy bajo,2208
2,Baja California,2004,Tijuana,2020,1922523,1.463182,7.626528,24.48391,25.036163,2.176452,0.691251,1.185623,0.919757,0.29419,18.12806,4.410247,-1.149643,Muy bajo,2320
2,Baja California,2005,Playas de Rosarito,2020,126890,2.01793,7.745966,29.498303,28.093624,2.723725,1.353788,5.006056,2.301171,0.777823,22.494954,5.611627,-0.956101,Muy bajo,2119
2,Baja California,2006,San Quintín,2020,117568,8.111663,5.709051,47.137132,26.498707,4.285142,0.918025,15.991497,43.726318,5.748437,41.985768,27.673208,0.349481,Medio,700
3,Baja California Sur,3001,Comondú,2020,73021,4.076639,3.561304,32.208889,11.714438,3.134328,0.967888,1.899593,4.246947,1.610131,27.933062,7.914971,-0.811338,Muy bajo,1938
3,Baja California Sur,3002,Mulegé,2020,64022,4.148104,5.62463,33.481125,14.980788,3.035501,1.912781,2.941941,11.476688,2.307812,32.974687,15.031966,-0.568869,Bajo,1630
3,Baja California Sur,3003,La Paz,2020,292241,1.779959,3.317793,19.758739,14.084608,2.038709,1.053406,2.398998,1.333509,1.253323,24.958808,5.639403,-1.101218,Muy bajo,2285
3,Baja California Sur,3008,Los Cabos,2020,351111,2.115111,4.765198,23.815597,19.249183,7.763458,1.332203,8.504008,1.621126,0.79873,38.085612,9.145951,-0.758723,Muy bajo,1858
3,Baja California Sur,3009,Loreto,2020,18052,2.207734,4.388715,25.929767,13.173056,4.100719,1.816547,3.219424,2.967626,1.348921,26.241007,9.028777,-0.890728,Muy bajo,2031
4,Campeche,4001,Calkiní,2020,59232,9.238969,2.821283,31.756525,17.949757,2.356484,9.537213,1.957191,12.037704,0.890227,28.650913,27.682137,-0.427612,Bajo,1453
4,Campeche,4002,Campeche,2020,294077,3.304942,3.201178,22.853333,19.384379,1.06363,1.291383,0.747828,1.584879,0.534163,18.383423,8.401033,-1.14464,Muy bajo,2314
4,Campeche,4003,Carmen,2020,248845,3.921664,6.687846,26.395463,23.146939,2.454585,2.314204,5.556868,1.360724,0.867305,17.910406,10.939997,-0.922415,Muy bajo,2080
4,Campeche,4004,Champotón,2020,78170,8.817042,5.908658,38.931626,24.080849,3.540938,3.764871,3.326335,8.145556,1.91276,25.672965,20.508514,-0.446059,Bajo,1472
4,Campeche,4005,Hecelchakán,2020,31917,8.405375,10.723097,30.912437,22.229533,1.556467,6.901544,2.425193,10.569498,0.880792,25.627413,23.914093,-0.453318,Bajo,1481
4,Campeche,4006,Hopelchén,2020,42140,8.299728,19.763253,42.901458,22.55102,2.795972,10.509336,1.505524,13.520383,1.749927,27.715319,32.564278,0.036244,Bajo,986
4,Campeche,4007,Palizada,2020,8683,7.81926,5.109489,34.177215,14.177128,4.109048,2.686685,17.661004,4.899249,2.607665,27.024891,21.453971,-0.31218,Bajo,1327
4,Campeche,4008,Tenabo,2020,11452,8.773404,9.164969,32.885262,18.555711,1.20915,10.816993,1.24183,15.098039,1.470588,24.771242,23.75817,-0.34409,Bajo,1369
4,Campeche,4009,Escárcega,2020,59923,8.917517,6.987451,38.722245,22.457153,4.872071,4.387853,1.966762,7.071975,1.76351,30.206839,21.192013,-0.379536,Bajo,1404
4,Campeche,4010,Calakmul,2020,31714,13.194614,6.509889,39.084455,24.768241,9.794393,5.158879,21.819315,15.576324,2.517134,39.065421,35.813084,0.317074,Medio,727
4,Campeche,4011,Candelaria,2020,46913,11.248113,9.343603,43.982763,32.443033,8.765842,7.332529,11.330718,13.986119,7.460772,39.446288,32.264635,0.414902,Medio,649
4,Campeche,4012,Seybaplaya,2020,15297,6.228883,4.709987,34.471108,18.023142,0.937866,5.064478,6.424385,5.463072,0.98476,18.100821,15.474795,-0.699509,Bajo,1776
5,Coahuila de Zaragoza,5001,Abasolo,2020,1022,2.211302,4.310345,32.923833,42.857143,0,0.276243,0.552486,1.933702,0,13.535912,1.657459,-1.282192,Muy bajo,2426
